category,order_date,orders_count,rolling_mean_30,rolling_std_30,z_score
electronics,2017-10-31,6,2.1666666666666665,1.234094204567514,3.106191828100123
electronics,2017-11-24,17,3.6333333333333333,2.965122935560767,4.507963736127099
electronics,2017-11-25,17,4.133333333333334,3.821295441414431,3.3670954952135665
electronics,2018-01-02,19,6.3,3.733815650289237,3.4013462874141105
fashion_bags_accessories,2017-03-28,6,2.033333333333333,1.2726115785600323,3.116950005401471
fashion_bags_accessories,2017-05-24,10,3.1,2.0231419743250507,3.410536723356718
fashion_bags_accessories,2017-07-14,8,2.533333333333333,1.5916448515084427,3.4346020479919037
fashion_bags_accessories,2017-09-24,11,3.2,2.171921126401773,3.591290634445036
fashion_bags_accessories,2017-11-24,36,4.933333333333334,6.214184737680639,4.999314950887972
fashion_bags_accessories,2018-07-23,8,2.6666666666666665,1.6045911141715086,3.323795879355265
fashion_male_clothing,2017-10-03,4,1.3333333333333333,0.7111590022187595,3.749747466244369
fashion_male_clothing,2018-07-23,3,1.1333333333333333,0.43417248545530474,4.299366563289115
fashion_shoes,2017-08-16,3,1.3,0.534983080621924,3.1776705873085374
fashion_shoes,2018-05-30,3,1.2333333333333334,0.5683207771559355,3.1085730764721444
fixed_telephony,2017-06-16,3,1.2666666666666666,0.5208304597621881,3.3280183615312664
fixed_telephony,2018-04-06,3,1.1666666666666667,0.4611330373774145,3.97571456549716
food,2017-09-23,3,1.1666666666666667,0.46113303737741396,3.975714565497165
food,2017-11-09,3,1.2,0.5508613944197477,3.2676096350807775
food,2018-01-24,3,1.2,0.5508613944197477,3.2676096350807775
food,2018-02-28,4,1.5666666666666667,0.773854362727667,3.144433178300329
food,2018-04-30,5,1.6666666666666667,1.093344547181068,3.0487492181010545
food,2018-08-05,7,2.466666666666667,1.3321834121764775,3.402934830067372
food_drink,2017-11-05,3,1.2,0.48423419811150237,3.7172095796206497
food_drink,2017-12-04,5,1.6,1.0372377109252813,3.277937124911305
food_drink,2018-08-23,3,1.2,0.48423419811150287,3.7172095796206457
furniture_bedroom,2018-05-29,2,1.0333333333333334,0.18257418583505536,5.294651389216606
furniture_bedroom,2018-06-28,3,1.1,0.40257789993644877,4.71958346521241
furniture_decor,2017-11-24,87,13.933333333333334,14.574264832309684,5.013403249314174
furniture_decor,2018-01-04,29,9.1,5.358525273193038,3.7137083405304137
furniture_living_room,2017-04-12,5,1.5333333333333334,0.8995528902176071,3.8537663592277047
furniture_living_room,2017-10-17,3,1.1666666666666667,0.4611330373774138,3.9757145654971664
furniture_living_room,2017-11-24,8,1.4333333333333333,1.3308885632599343,4.934046957757302
furniture_living_room,2018-04-18,4,1.2666666666666666,0.6396838299494918,4.272944234887338
furniture_living_room,2018-07-23,6,2.1666666666666665,1.2340942045675156,3.106191828100119
