category,total_orders,total_revenue,active_months,monthly_mean,monthly_std,cv,peak_to_mean,peak_to_min,peak_month_share,peak_quarter_share,seasonal_index_max,peak_month,peak_quarter,confidence_level,event_spike_count,max_spike_z_score,weekly_pattern_strength,trend_strength,seasonality_score,seasonality_type
sports_leisure,3540,435674.13999999996,12,295.0,138.63922004012187,0.469963457763125,1.8372881355932202,9.508771929824562,0.15310734463276837,0.3926553672316384,1.8372881355932202,11,4,high,3.0,5.070611055171554,0.4443559096945552,0.7888163497019586,0.469963457763125,event_driven
telephony,1969,135508.26,12,164.08333333333334,77.0167279809321,0.46937569109760546,2.090401218892839,20.176470588235293,0.17420010157440324,0.4062976130015236,2.090401218892839,11,4,high,4.0,5.174676494812923,0.3027119472269728,0.5618972863870821,0.46937569109760546,event_driven
unknown,785,100066.8,12,65.41666666666667,29.915041738600703,0.45730000109962854,2.0178343949044586,13.2,0.1681528662420382,0.3834394904458599,2.0178343949044586,12,4,high,5.0,3.332432095071338,0.3469827586206895,0.543997668997669,0.45730000109962854,event_driven
fashion_shoes,167,14674.5,12,13.916666666666666,6.264427791550921,0.4501385239437788,1.5808383233532934,22.0,0.1317365269461078,0.3473053892215569,1.5808383233532934,5,2,medium,2.0,3.1776705873085374,0.5361702127659576,0.3968531468531468,0.4501385239437788,mid_year
fashion_male_clothing,81,8125.5599999999995,12,6.75,3.031088913245535,0.4490502093697089,1.7777777777777777,12.0,0.14814814814814814,0.37037037037037035,1.7777777777777777,8,3,low,2.0,4.299366563289115,0.8584905660377359,0.4134615384615385,0.4490502093697089,low_confidence
housewares,2383,222518.16,12,198.58333333333334,87.65791306107066,0.44141626384089294,1.737305916911456,16.428571428571427,0.1447754930759547,0.3256399496433068,1.737305916911456,11,4,high,3.0,4.813335651953963,0.37419467177433385,0.6061315496098105,0.44141626384089294,event_driven
health_beauty,3305,473833.0,12,275.4166666666667,119.57317029984425,0.4341537196968626,1.8844175491679274,6.569620253164557,0.15703479576399396,0.3833585476550681,1.8844175491679274,11,4,high,3.0,5.052319781115498,0.39666936509772166,0.6916407292129836,0.4341537196968626,event_driven
office_furniture,612,126275.08,12,51.0,21.67179426505029,0.4249371424519665,1.9019607843137254,16.166666666666668,0.15849673202614378,0.2973856209150327,1.9019607843137254,7,4,high,2.0,3.9253449954537003,0.463317384370016,0.2537668517049961,0.4249371424519665,weekly_pattern
cool_stuff,2161,381414.3,12,180.08333333333334,75.85672716084946,0.4212312475382663,1.5881536325775103,9.533333333333333,0.13234613604812587,0.35122628412771867,1.5881536325775103,11,4,high,1.0,4.53667660288411,0.33042989603821304,0.7416621839698763,0.4212312475382663,holiday_q4
luggage_accessories,556,75088.7,12,46.333333333333336,18.834070782022195,0.40649073630263727,1.553956834532374,18.0,0.12949640287769784,0.3057553956834532,1.553956834532374,7,3,high,8.0,3.9355432949840705,0.6319921491658488,0.4925213675213673,0.40649073630263727,event_driven
furniture_living_room,203,33883.44,12,16.916666666666668,6.836889318656223,0.4041510927284467,1.7142857142857142,3.625,0.14285714285714285,0.2857142857142857,1.7142857142857142,11,3,high,5.0,4.934046957757302,0.4227053140096618,0.2771883289124669,0.4041510927284467,event_driven
furniture_decor,3111,324587.60000000003,12,259.25,99.42428023375376,0.38350734902122957,2.067502410800386,4.0606060606060606,0.17229186756669881,0.3555126968820315,2.067502410800386,11,4,high,2.0,5.013403249314174,0.3496115427302997,0.4156859931113662,0.38350734902122957,holiday_q4
pet_shop,682,84156.32000000002,12,56.833333333333336,18.9333626760336,0.3331383462058698,1.4428152492668622,6.833333333333333,0.12023460410557185,0.3152492668621701,1.4428152492668622,11,4,high,2.0,3.3692257207237613,0.4063981042654028,0.6219512195121951,0.3331383462058698,stable
market_place,174,19314.91,12,14.5,4.752192476461084,0.3277374121697299,1.5172413793103448,4.4,0.12643678160919541,0.3160919540229885,1.5172413793103448,8,2,medium,4.0,3.9757145654971655,0.5364963503649633,0.09440559440559428,0.3277374121697299,event_driven
small_appliances,295,96841.18000000001,12,24.583333333333332,7.216397223607421,0.293548361638268,1.3016949152542374,5.333333333333333,0.10847457627118644,0.30847457627118646,1.3016949152542374,8,3,high,2.0,3.3582402799349804,0.3793103448275863,0.3978365384615382,0.293548361638268,stable
